ASTEC model
Date: Mon Feb 25 13:47:43 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Jan 11 13:41 ./gong.l9bi.d.16c
      2482        15        25      1210
  1.989000000000000100E+033  6.959900010679049700E+010  3.846000011034595000E+033  1.962328011243058900E-002  7.090588550519244500E-001
  1.992320974258240200E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.364519562196575700E+002 -1.621540032487861300E+002  4.600000019245330800E+009  5.777506278179684200E+003  6.672320000000000600E-008
  6.964854489120826700E+010  8.397389474365724700E-011  4.348194856859577200E+003  9.496277718989991900E+002  3.306825608636656600E-009
  7.371783874818308400E-001  3.846000011034595000E+033  5.770076605465800600E-003  0.000000000000000000E+000  1.640692948307549000E+000
  3.890933918533774900E-001  1.007571534707521400E+000  1.710601926841623800E+008  8.901324387216733600E-001  2.592983815189952600E+003
  0.000000000000000000E+000  1.806087078811480200E-002 -4.954478441777038600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.017974953347039600E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563693600E-003  9.427978008010418800E-003
  6.964799743532170100E+010  8.391699911315393800E-011  4.348490611085748200E+003  1.000544284902797600E+003  3.484160814291653100E-009
  7.371783874818308400E-001  3.846000011034595000E+033  6.027899512536369900E-003  0.000000000000000000E+000  1.641348188844249400E+000
  3.893841259090109500E-001  1.007213437494042200E+000  1.708585167811814200E+008  8.901324387216733600E-001  2.593219307310319900E+003
  0.000000000000000000E+000  1.806087078811480200E-002 -4.899732853120422400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.017974953347039600E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563693600E-003  9.427978008010418800E-003
  6.964744571625401300E+010  8.385657365110119700E-011  4.348818625754985100E+003  1.054619915425780200E+003  3.672467093320623400E-009
  7.371783874818308400E-001  3.846000011034595000E+033  6.298840482182270700E-003  0.000000000000000000E+000  1.641982894723668500E+000
  3.896616184394247600E-001  1.006865491866741200E+000  1.706649490856876100E+008  8.901324387216733600E-001  2.593279332851187500E+003
  0.000000000000000000E+000  1.806087078811480200E-002 -4.844560946351623500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.017974953347039600E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563693600E-003  9.427978008010418800E-003
  6.964689004783538800E+010  8.379241490255141000E-011  4.349182399651226700E+003  1.112036750633797500E+003  3.872368188281188900E-009
  7.371783874818308400E-001  3.846000011034595000E+033  6.583482149488134400E-003  0.000000000000000000E+000  1.642603253422142900E+000
  3.899299979828967900E-001  1.006530209821183000E+000  1.704781654210957300E+008  8.901324387216733600E-001  2.593185152829539200E+003
  0.000000000000000000E+000  1.806087078811480200E-002 -4.788994104489135700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.017974953347039600E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563693600E-003  9.427978008010418800E-003
  6.964633072143379200E+010  8.372430720301475100E-011  4.349585806377795100E+003  1.172987803241622700E+003  4.084522537418604200E-009
  7.371783874818308400E-001  3.846000011034595000E+033  6.882428615131564100E-003  0.000000000000000000E+000  1.643219724372823700E+000
  3.901958560498331500E-001  1.006211159295375500E+000  1.702960082562623000E+008  8.901324387216733600E-001  2.592975215080333800E+003
  0.000000000000000000E+000  1.806087078811480200E-002 -4.733061464329528800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.017974953347039600E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563693600E-003  9.427978008010418800E-003
  6.964576800622500600E+010  8.365202188569853600E-011  4.350033133442358100E+003  1.237677721555170800E+003  4.309625484064165300E-009
  7.371783874818308400E-001  3.846000011034595000E+033  7.196311161484418200E-003  0.000000000000000000E+000  1.643843621915851200E+000
  3.904666580576634500E-001  1.005913326333983200E+000  1.701162303494668600E+008  8.901324387216733600E-001  2.592695600936884100E+003
  0.000000000000000000E+000  1.806087078811480200E-002 -4.676789943450927700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.017974953347039600E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563693600E-003  9.427978008010418800E-003
  6.964520215087771600E+010  8.357531653773854300E-011  4.350529125170301100E+003  1.306323456859806100E+003  4.548419647527340600E-009
  7.371783874818308400E-001  3.846000011034595000E+033  7.525803431594663800E-003  0.000000000000000000E+000  1.644446835509871400E+000
  3.907301608835008200E-001  1.005640744702162200E+000  1.699447217712810000E+008  8.901324387216733600E-001  2.592261412325564800E+003
  0.000000000000000000E+000  1.806087078811480200E-002 -4.620204408721923800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  1.017974953347039600E-008  0.000000000000000000E+000  0.000000000000000000E+000  4.423666789563693600E-003  9.427978008010418800E-003
  6.964463338537077300E+010  8.349393423792124600E-011  4.351079029763545800E+003  1.379154944554711200E+003  4.801689294006938300E-009
  7.371783874818308400E-001  3.846000011034595000E+033  7.871613670323802900E-003  0.000000000000000000E+000  1.645023258087981800E+000
  3.909832427442694900E-001  1.005391175257250000E+000  1.697823614281931500E+008  8.901324387216733600E-001  2.591630238972140000E+003
