ASTEC model
Date: Mon Feb 25 13:47:45 CET 2019
Directory:  /ai43/jcd/47tuc/gong/model/gong/jan07
Model file:  man 1016192 Feb 13 2018 ./gong.l9bi.d.39c
      2482        15        25      1210
  1.989000000000000100E+033  6.959899989135113500E+010  3.845999981699487800E+033  1.966055256765203400E-002  7.095957667842753800E-001
  1.981969224489078100E+000  2.249999860586456600E+000  6.172840271130624600E-003  1.000000000000000000E+000  1.000000000000000000E+000
 -1.360894787155773400E+002 -1.584123324769311400E+002  4.600000030469970700E+009  5.777506276104750200E+003  6.672320000000000600E-008
  6.964858214963571200E+010  8.391318549347245100E-011  4.348194838268427700E+003  9.487840063672858800E+002  3.301513587471241600E-009
  7.379456043679976100E-001  3.845999981699487800E+033  5.775207918143366100E-003  0.000000000000000000E+000  1.640681196831438500E+000
  3.890881418275016800E-001  1.007578234245390700E+000  1.711866362402380100E+008  8.905388037449614200E-001  2.591101533308373300E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.958225828457641600E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964803429913203400E+010  8.385634030719888100E-011  4.348490592493334600E+003  9.996553728962009000E+002  3.478564291446709000E-009
  7.379456043679976100E-001  3.845999981699487800E+033  6.033237905850978800E-003  0.000000000000000000E+000  1.641337244087763800E+000
  3.893793223022408200E-001  1.007220057001686000E+000  1.709845983803175400E+008  8.905388037449614200E-001  2.591339727679319400E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.903440778089904800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964748218045187400E+010  8.379596819620449800E-011  4.348818607161173500E+003  1.053683255166735800E+003  3.666569230972818300E-009
  7.379456043679976100E-001  3.845999981699487800E+033  6.304395501216820600E-003  0.000000000000000000E+000  1.641972661084272900E+000
  3.896571681483798100E-001  1.006871998892342200E+000  1.707907076967323100E+008  8.905388037449614200E-001  2.591401925960711700E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.848228910073852500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964692610773948700E+010  8.373186585871898200E-011  4.349182381055859900E+003  1.111049603283469200E+003  3.866151268090240600E-009
  7.379456043679976100E-001  3.845999981699487800E+033  6.589264006827273200E-003  0.000000000000000000E+000  1.642593489110848000E+000
  3.899257395227578900E-001  1.006536523589069500E+000  1.706036594449589800E+008  8.905388037449614200E-001  2.591308809921058600E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.792621638835144000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964636637268383800E+010  8.366381779417924500E-011  4.349585787780699300E+003  1.171947283262517200E+003  4.077967916902783100E-009
  7.379456043679976100E-001  3.845999981699487800E+033  6.888448054645971900E-003  0.000000000000000000E+000  1.643209990669323400E+000
  3.901915382727438300E-001  1.006217134528920600E+000  1.704213210822849300E+008  8.905388037449614200E-001  2.591098056313632200E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.736648133270263700E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964580324476376300E+010  8.359159550927608000E-011  4.350033114843349700E+003  1.236580788132707300E+003  4.302713440377184800E-009
  7.379456043679976100E-001  3.845999981699487800E+033  7.202579260236900400E-003  0.000000000000000000E+000  1.643833911036114900E+000
  3.904622529116734100E-001  1.005918730543259300E+000  1.702413342684895400E+008  8.905388037449614200E-001  2.590816931181491300E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.680335341262817400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964523697290370200E+010  8.351495677255828000E-011  4.350529106569175400E+003  1.305166906780289100E+003  4.541129192786213100E-009
  7.379456043679976100E-001  3.845999981699487800E+033  7.532331434476567300E-003  0.000000000000000000E+000  1.644437828964002300E+000
  3.907260331746427200E-001  1.005645491369609300E+000  1.700694543117355700E+008  8.905388037449614200E-001  2.590383484589219700E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.623708155256652800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964466778731411700E+010  8.343364485357315400E-011  4.351079011160064500E+003  1.377935403887341900E+003  4.793998414170192900E-009
  7.379456043679976100E-001  3.845999981699487800E+033  7.878413398911999700E-003  0.000000000000000000E+000  1.645014715022923700E+000
  3.909793262981716700E-001  1.005395315625933900E+000  1.699067673971921200E+008  8.905388037449614200E-001  2.589752890026923500E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.566789596298217800E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964409590039367700E+010  8.334738767741219500E-011  4.351688632227749600E+003  1.455129776728282200E+003  5.062147675509839800E-009
  7.379456043679976100E-001  3.845999981699487800E+033  8.241571292649768600E-003  0.000000000000000000E+000  1.645570424270709000E+000
  3.912243063424217800E-001  1.005163716008344900E+000  1.697515160100757500E+008  8.905388037449614200E-001  2.588909845598726000E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.509600904254150400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964352150780914300E+010  8.325589695493904700E-011  4.352364385139159800E+003  1.537008034108536100E+003  5.346450445315428900E-009
  7.379456043679976100E-001  3.845999981699487800E+033  8.622593901560249600E-003  0.000000000000000000E+000  1.646114974129389000E+000
  3.914646354538368100E-001  1.004944080612071500E+000  1.696009431002395700E+008  8.905388037449614200E-001  2.587841670620666300E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.452161645800781200E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964294478977586400E+010  8.315886729443025900E-011  4.353113358515009200E+003  1.623843491724895800E+003  5.647829300474122300E-009
  7.379456043679976100E-001  3.845999981699487800E+033  9.022316399301091200E-003  0.000000000000000000E+000  1.646663632568212700E+000
  3.917058540782067400E-001  1.004727135030718300E+000  1.694510364681877500E+008  8.905388037449614200E-001  2.586539371698503600E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.394489842472839400E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964236591226803600E+010  8.305597528023775900E-011  4.353943381219568400E+003  1.715925596934866500E+003  5.967257230882657300E-009
  7.379456043679976100E-001  3.845999981699487800E+033  9.441623384537987900E-003  0.000000000000000000E+000  1.647202150447124600E+000
  3.919435218590192600E-001  1.004512164111531800E+000  1.693035751966924700E+008  8.905388037449614200E-001  2.584947023002052400E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.336602091690063500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964178502813290400E+010  8.294687851888488200E-011  4.354863095167874200E+003  1.813560782823453800E+003  6.305759381471415400E-009
  7.379456043679976100E-001  3.845999981699487800E+033  9.881453209913839900E-003  0.000000000000000000E+000  1.647712226564304900E+000
  3.921712532707627400E-001  1.004304041326538300E+000  1.691621309175340500E+008  8.905388037449614200E-001  2.583007419615906200E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.278513678176879900E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964120227826277200E+010  8.283121466942486500E-011  4.355882034253159900E+003  1.917073336632801800E+003  6.664415789325719300E-009
  7.379456043679976100E-001  3.845999981699487800E+033  1.034280448753242100E-002  0.000000000000000000E+000  1.648197918032664900E+000
  3.923899039033998900E-001  1.004103131929123800E+000  1.690263775657293500E+008  8.905388037449614200E-001  2.580697399620879400E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.220238691163635300E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964061779281660500E+010  8.270860046606418600E-011  4.357010709659816700E+003  2.026806275036509500E+003  7.044362883204147200E-009
  7.379456043679976100E-001  3.845999981699487800E+033  1.082674213613544500E-002  0.000000000000000000E+000  1.648666627269241800E+000
  3.926012357377123300E-001  1.003910141075186100E+000  1.688956650634897400E+008  8.905388037449614200E-001  2.577997780541196300E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.161790146546936000E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.964003169241357400E+010  8.257863073686357700E-011  4.358260701770927000E+003  2.143122223089522300E+003  7.446794988861826600E-009
  7.379456043679976100E-001  3.845999981699487800E+033  1.133440477592751100E-002  0.000000000000000000E+000  1.649130123055186500E+000
  3.928082051417894900E-001  1.003726201793256900E+000  1.687689138111011100E+008  8.905388037449614200E-001  2.574895241085623600E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.103180106243896500E+007  0.000000000000000000E+000  0.000000000000000000E+000
  9.783088027583042900E-009  0.000000000000000000E+000  0.000000000000000000E+000  4.423168588173680700E-003  9.426916212000013500E-003
  6.963944408898509200E+010  8.244087739052340300E-011  4.359644758800697700E+003  2.266404320878356400E+003  7.872961122983543800E-009
  7.379456043679976100E-001  3.845999981699487800E+033  1.186700635433144200E-002  0.000000000000000000E+000  1.649591351847292200E+000
  3.930117869475640600E-001  1.003548480524336200E+000  1.686453408195962900E+008  8.905388037449614200E-001  2.571348223897119600E+003
  0.000000000000000000E+000  1.807966567357566200E-002 -4.044419763395690900E+007  0.000000000000000000E+000  0.000000000000000000E+000
